time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
69.44,4.190072692,153561.9218825,589341.9961805,309.479527039,309.353471444,2.94569431343
70.44,4.259702469,153596.0972455,588717.4831995,309.920895893,309.779512356,2.99659795408
71.44,4.325061474,153630.9988732,588084.6393631999,310.370406505,310.213975786,3.04716997285
72.44,4.386644109,153666.71462550003,587443.6076445,310.827988021,310.656723145,3.09742745868
73.44,4.453959265,153703.17010380002,586794.9057608,311.293560805,311.107495636,3.1473840363
74.44,4.514623272,153740.39387720003,586138.7939652001,311.766995383,311.56688605,3.19705191704
75.44,4.580925597,153778.2445257,585475.9451617,312.246000716,312.033075948,3.2464430784
76.44,4.643598043,153816.4290922,584809.1786382,312.726062535,312.503307453,3.29556719334
77.44,4.714935119,153854.6807044,584141.8824264,313.20276423,312.974032401,3.34443493301
78.44,4.775588526,153892.5995074,583478.4094144,313.671679739,313.441600591,3.39305330108
79.44,4.852177012,153930.0278409,582822.7098959,314.128474675,313.902130019,3.44143327865
80.44,4.921568098,153966.4513655,582179.8032245,314.568929973,314.351795142,3.48957905751
81.44,5.007854136,154001.5998185,581553.8783875,314.989043894,314.786406943,3.53749812554
82.44,5.071639411,154035.1147867,580949.9149887001,315.384965961,315.20243633,3.58519497507
83.44,5.126151667,154066.783816,580371.8188430001,315.7531995,315.596551238,3.63267615418
84.44,5.1684363,154096.26139960001,579823.9202146,316.090558813,315.965188755,3.67994577307
85.44,5.211041784,154123.31072260003,579310.0312486,316.394221402,316.305444877,3.72700828978
86.44,5.254402068,154147.6851088,578833.7173258,316.661764464,316.614364126,3.77386749118
87.44,5.297775651,154169.19974150002,578398.1053965,316.891193316,316.889846464,3.82052689367
88.44,5.342111045,154187.6790824,578005.9640933999,317.08095784,317.12963559,3.86698964979
89.44,5.386599609,154203.0002314,577659.6335654,317.229960497,317.332227673,3.91325858477
90.44,5.440182473,154215.0667765,577361.0210665001,317.337560033,317.496277941,3.95933628103
91.44,5.484278047,154223.8378086,577111.5585986,317.403564971,317.621243841,4.0052251053
92.44,5.562736345,154229.3266812,576912.2870882,317.428202096,317.706607278,4.0509278641
93.44,5.644883202,154231.4974288,576763.6451548,317.412183069,317.75245938,4.09644552316
94.44,5.740637651,154230.46800300002,576665.86436,317.356546436,317.759210409,4.14178064948
95.44,5.833947739,154226.2732553,576618.6879202999,317.262723966,317.72761896,4.18693376293
96.44,5.911076776,154219.0596276,576621.3531846,317.13247547,317.658980488,4.23190614834
97.44,5.976544611,154208.98702200002,576672.725187,316.967865833,317.5548074,4.2766993462
98.44,6.07412761,154196.37570540002,576771.2512104,316.772855245,317.417055401,4.32131603332
99.44,6.163109409,154182.5282533,576909.9770572999,316.569606284,317.257692941,4.3657553625
100.44,6.253336196,154168.20947220002,577076.8755982,316.36376202,317.088202989,4.40957936591
101.44,6.340883524,154153.4589811,577265.5536121,316.155066648,316.910729244,4.44947430384
102.44,6.42041448,154138.3373246,577472.3724156,315.943564539,316.726224975,4.48512197263
103.44,6.521328239,154122.92767499998,577694.653177,315.729361071,316.535731282,4.51693280272
104.44,6.618381928,154107.2113122,577930.1662722,315.512607358,316.339911531,4.54527832381
105.44,6.713986016,154091.22106789998,578177.1444599,315.29346738,316.139444607,4.5704946666
106.44,6.810297835,154075.0075,578434.109358,315.07211711,315.934660825,4.59288595344
107.44,6.914948905,154058.6230285,578699.8527604999,314.848728652,315.726258632,4.61272731049
108.44,7.013762363,154042.05134530002,578973.3280693,314.623482733,315.514486289,4.63026779391
109.44,7.188848788,154025.3714058,579253.7595988,314.396536684,315.299656516,4.64573257644
110.44,7.301431449,154008.4801255,579540.3162535,314.168062352,315.082323469,4.65932575565
