time,Alt,Mach,Weight_On_Nose_Wheels,Aircraft_state,heat_load
756.0,10000.0,1.2,0,4,4000
757.0,10000.0,1.2,0,4,4000
758.0,10000.0,1.2,0,4,4000
759.0,10000.0,1.2,0,4,4000
760.0,10000.0,1.2,0,4,4000
761.0,10000.0,1.2,0,4,4000
762.0,10000.0,1.2,0,4,4000
763.0,10000.0,1.2,0,4,4000
764.0,10000.0,1.2,0,4,4000
765.0,10000.0,1.2,0,4,4000
766.0,10000.0,1.2,0,4,4000
767.0,10000.0,1.2,0,4,4000
768.0,10000.0,1.2,0,4,4000
769.0,10000.0,1.2,0,4,4000
770.0,10000.0,1.2,0,4,4000
771.0,10000.0,1.2,0,4,4000
772.0,10000.0,1.2,0,4,4000
773.0,10000.0,1.2,0,4,4000
774.0,10000.0,1.2,0,4,4000
775.0,10000.0,1.2,0,4,4000
776.0,10000.0,1.2,0,4,4000
777.0,10000.0,1.2,0,4,4000
778.0,10000.0,1.2,0,4,4000
779.0,10000.0,1.2,0,4,4000
780.0,10000.0,1.2,0,4,4000
781.0,10000.0,1.2,0,4,4000
782.0,10000.0,1.2,0,4,4000
783.0,10000.0,1.2,0,4,4000
784.0,10000.0,1.2,0,4,4000
785.0,10000.0,1.2,0,4,4000
786.0,10000.0,1.2,0,4,4000
787.0,10000.0,1.2,0,4,4000
788.0,10000.0,1.2,0,4,4000
789.0,10000.0,1.2,0,4,4000
790.0,10000.0,1.2,0,4,4000
791.0,10000.0,1.2,0,4,4000
792.0,10000.0,1.2,0,4,4000
793.0,10000.0,1.2,0,4,4000
794.0,10000.0,1.2,0,4,4000
795.0,10000.0,1.2,0,4,4000
796.0,10000.0,1.2,0,4,4000
797.0,10000.0,1.2,0,4,4000
798.0,10000.0,1.2,0,4,4000
799.0,10000.0,1.2,0,4,4000
800.0,10000.0,1.2,0,4,4000
801.0,10000.0,1.2,0,4,4000
802.0,10000.0,1.2,0,4,4000
803.0,10000.0,1.2,0,4,4000
804.0,10000.0,1.2,0,4,4000
805.0,10000.0,1.2,0,4,4000
806.0,10000.0,1.2,0,4,4000
807.0,10000.0,1.2,0,4,4000
808.0,10000.0,1.2,0,4,4000
809.0,10000.0,1.2,0,4,4000
810.0,10000.0,1.2,0,4,4000
811.0,10000.0,1.2,0,4,4000
812.0,10000.0,1.2,0,4,4000
813.0,10000.0,1.2,0,4,4000
814.0,10000.0,1.2,0,4,4000
815.0,10000.0,1.2,0,4,4000
816.0,10000.0,1.2,0,4,4000
817.0,10000.0,1.2,0,4,4000
818.0,10000.0,1.2,0,4,4000
819.0,10000.0,1.2,0,4,4000
820.0,10000.0,1.2,0,4,4000
821.0,10000.0,1.2,0,4,4000
822.0,10000.0,1.2,0,4,4000
823.0,10000.0,1.2,0,4,4000
824.0,10000.0,1.2,0,4,4000
825.0,10000.0,1.2,0,4,4000
826.0,10000.0,1.2,0,4,4000
827.0,10000.0,1.2,0,4,4000
828.0,10000.0,1.2,0,4,4000
829.0,10000.0,1.2,0,4,4000
830.0,10000.0,1.2,0,4,4000
831.0,10000.0,1.2,0,4,4000
832.0,10000.0,1.2,0,4,4000
833.0,10000.0,1.2,0,4,4000
834.0,10000.0,1.2,0,4,4000
835.0,10000.0,1.2,0,4,4000
836.0,10000.0,1.2,0,4,4000
837.0,10000.0,1.2,0,4,4000
838.0,10000.0,1.2,0,4,4000
839.0,10000.0,1.2,0,4,4000
840.0,10000.0,1.2,0,4,4000
841.0,10000.0,1.2,0,4,4000
842.0,10000.0,1.2,0,4,4000
843.0,10000.0,1.2,0,4,4000
844.0,10000.0,1.2,0,4,4000
845.0,10000.0,1.2,0,4,4000
846.0,10000.0,1.2,0,4,4000
847.0,10000.0,1.2,0,4,4000
848.0,10000.0,1.2,0,4,4000
849.0,10000.0,1.2,0,4,4000
850.0,10000.0,1.2,0,4,4000
851.0,10000.0,1.2,0,4,4000
852.0,10000.0,1.2,0,4,4000
853.0,10000.0,1.2,0,4,4000
854.0,10000.0,1.2,0,4,4000
855.0,10000.0,1.2,0,4,4000
856.0,10000.0,1.2,0,4,4000
857.0,10000.0,1.2,0,4,4000
858.0,10000.0,1.2,0,4,4000
859.0,10000.0,1.2,0,4,4000
860.0,10000.0,1.2,0,4,4000
861.0,10000.0,1.2,0,4,4000
862.0,10000.0,1.2,0,4,4000
863.0,10000.0,1.2,0,4,4000
864.0,10000.0,1.2,0,4,4000
865.0,10000.0,1.2,0,4,4000
866.0,10000.0,1.2,0,4,4000
867.0,10000.0,1.2,0,4,4000
868.0,10000.0,1.2,0,4,4000
869.0,10000.0,1.2,0,4,4000
870.0,10000.0,1.2,0,4,4000
871.0,10000.0,1.2,0,4,4000
872.0,10000.0,1.2,0,4,4000
873.0,10000.0,1.2,0,4,4000
874.0,10000.0,1.2,0,4,4000
875.0,10000.0,1.2,0,4,4000
876.0,10000.0,1.2,0,4,4000
877.0,10000.0,1.2,0,4,4000
878.0,10000.0,1.2,0,4,4000
879.0,10000.0,1.2,0,4,4000
880.0,10000.0,1.2,0,4,4000
881.0,10000.0,1.2,0,4,4000
882.0,10000.0,1.2,0,4,4000
883.0,10000.0,1.2,0,4,4000
884.0,10000.0,1.2,0,4,4000
885.0,10000.0,1.2,0,4,4000
886.0,10000.0,1.2,0,4,4000
887.0,10000.0,1.2,0,4,4000
888.0,10000.0,1.2,0,4,4000
889.0,10000.0,1.2,0,4,4000
890.0,10000.0,1.2,0,4,4000
891.0,10000.0,1.2,0,4,4000
892.0,10000.0,1.2,0,4,4000
893.0,10000.0,1.2,0,4,4000
894.0,10000.0,1.2,0,4,4000
895.0,10000.0,1.2,0,4,4000
896.0,10000.0,1.2,0,4,4000
897.0,10000.0,1.2,0,4,4000
898.0,10000.0,1.2,0,4,4000
899.0,10000.0,1.2,0,4,4000
900.0,10000.0,1.2,0,4,4000
901.0,10000.0,1.2,0,4,4000
902.0,10000.0,1.2,0,4,4000
903.0,10000.0,1.2,0,4,4000
904.0,10000.0,1.2,0,4,4000
905.0,10000.0,1.2,0,4,4000
906.0,10000.0,1.2,0,4,4000
907.0,10000.0,1.2,0,4,4000
908.0,10000.0,1.2,0,4,4000
909.0,10000.0,1.2,0,4,4000
910.0,10000.0,1.2,0,4,4000
911.0,10000.0,1.2,0,4,4000
912.0,10000.0,1.2,0,4,4000
913.0,10000.0,1.2,0,4,4000
914.0,10000.0,1.2,0,4,4000
915.0,10000.0,1.2,0,4,4000
916.0,10000.0,1.2,0,4,4000
917.0,10000.0,1.2,0,4,4000
918.0,10000.0,1.2,0,4,4000
919.0,10000.0,1.2,0,4,4000
920.0,10000.0,1.2,0,4,4000
921.0,10000.0,1.2,0,4,4000
922.0,10000.0,1.2,0,4,4000
923.0,10000.0,1.2,0,4,4000
924.0,10000.0,1.2,0,4,4000
925.0,10000.0,1.2,0,4,4000
926.0,10000.0,1.2,0,4,4000
927.0,10000.0,1.2,0,4,4000
928.0,10000.0,1.2,0,4,4000
929.0,10000.0,1.2,0,4,4000
930.0,10000.0,1.2,0,4,4000
931.0,10000.0,1.2,0,4,4000
932.0,10000.0,1.2,0,4,4000
933.0,10000.0,1.2,0,4,4000
934.0,10000.0,1.2,0,4,4000
935.0,10000.0,1.2,0,4,4000
936.0,10000.0,1.2,0,4,4000
937.0,10000.0,1.2,0,4,4000
938.0,10000.0,1.2,0,4,4000
939.0,10000.0,1.2,0,4,4000
940.0,10000.0,1.2,0,4,4000
941.0,10000.0,1.2,0,4,4000
942.0,10000.0,1.2,0,4,4000
943.0,10000.0,1.2,0,4,4000
944.0,10000.0,1.2,0,4,4000
945.0,10000.0,1.2,0,4,4000
946.0,10000.0,1.2,0,4,4000
947.0,10000.0,1.2,0,4,4000
948.0,10000.0,1.2,0,4,4000
949.0,10000.0,1.2,0,4,4000
950.0,10000.0,1.2,0,4,4000
951.0,10000.0,1.2,0,4,4000
952.0,10000.0,1.2,0,4,4000
953.0,10000.0,1.2,0,4,4000
954.0,10000.0,1.2,0,4,4000
955.0,10000.0,1.2,0,4,4000
956.0,10000.0,1.2,0,4,4000
957.0,10000.0,1.2,0,4,4000
958.0,10000.0,1.2,0,4,4000
959.0,10000.0,1.2,0,4,4000
960.0,10000.0,1.2,0,4,4000
961.0,10000.0,1.2,0,4,4000
962.0,10000.0,1.2,0,4,4000
963.0,10000.0,1.2,0,4,4000
964.0,10000.0,1.2,0,4,4000
965.0,10000.0,1.2,0,4,4000
966.0,10000.0,1.2,0,4,4000
967.0,10000.0,1.2,0,4,4000
968.0,10000.0,1.2,0,4,4000
969.0,10000.0,1.2,0,4,4000
970.0,10000.0,1.2,0,4,4000
971.0,10000.0,1.2,0,4,4000
972.0,10000.0,1.2,0,4,4000
973.0,10000.0,1.2,0,4,4000
974.0,10000.0,1.2,0,4,4000
975.0,10000.0,1.2,0,4,4000
976.0,10000.0,1.2,0,4,4000
977.0,10000.0,1.2,0,4,4000
978.0,10000.0,1.2,0,4,4000
979.0,10000.0,1.2,0,4,4000
980.0,10000.0,1.2,0,4,4000
981.0,10000.0,1.2,0,4,4000
982.0,10000.0,1.2,0,4,4000
983.0,10000.0,1.2,0,4,4000
984.0,10000.0,1.2,0,4,4000
985.0,10000.0,1.2,0,4,4000
986.0,10000.0,1.2,0,4,4000
987.0,10000.0,1.2,0,4,4000
988.0,10000.0,1.2,0,4,4000
989.0,10000.0,1.2,0,4,4000
990.0,10000.0,1.2,0,4,4000
991.0,10000.0,1.2,0,4,4000
992.0,10000.0,1.2,0,4,4000
993.0,10000.0,1.2,0,4,4000
994.0,10000.0,1.2,0,4,4000
995.0,10000.0,1.2,0,4,4000
996.0,10000.0,1.2,0,4,4000
997.0,10000.0,1.2,0,4,4000
998.0,10000.0,1.2,0,4,4000
999.0,10000.0,1.2,0,4,4000
1000.0,10000.0,1.2,0,4,4000
1001.0,10000.0,1.2,0,4,4000
1002.0,10000.0,1.2,0,4,4000
1003.0,10000.0,1.2,0,4,4000
1004.0,10000.0,1.2,0,4,4000
1005.0,10000.0,1.2,0,4,4000
1006.0,10000.0,1.2,0,4,4000
1007.0,10000.0,1.2,0,4,4000
1008.0,10000.0,1.2,0,4,4000
1009.0,10000.0,1.2,0,4,4000
1010.0,10000.0,1.2,0,4,4000
1011.0,10000.0,1.2,0,4,4000
1012.0,10000.0,1.2,0,4,4000
1013.0,10000.0,1.2,0,4,4000
1014.0,10000.0,1.2,0,4,4000
1015.0,10000.0,1.2,0,4,4000
1016.0,10000.0,1.2,0,4,4000
1017.0,10000.0,1.2,0,4,4000
1018.0,10000.0,1.2,0,4,4000
1019.0,10000.0,1.2,0,4,4000
1020.0,10000.0,1.2,0,4,4000
1021.0,10000.0,1.2,0,4,4000
1022.0,10000.0,1.2,0,4,4000
1023.0,10000.0,1.2,0,4,4000
1024.0,10000.0,1.2,0,4,4000
1025.0,10000.0,1.2,0,4,4000
1026.0,10000.0,1.2,0,4,4000
1027.0,10000.0,1.2,0,4,4000
1028.0,10000.0,1.2,0,4,4000
1029.0,10000.0,1.2,0,4,4000
1030.0,10000.0,1.2,0,4,4000
