Time,sources.ramp.height,sources.ramp.duration,sources.ramp.y,sources.ramp.offset,sources.ramp.startTime,sources.sine.amplitude,sources.sine.f,sources.sine.phase,sources.sine.y,sources.sine.offset,sources.sine.startTime,sources.freq_output,sources.ramp_output,sources.sine1.amplitude,sources.sine1.f,sources.sine1.phase,sources.sine1.y,sources.sine1.offset,sources.sine1.startTime,sources.ramp1.height,sources.ramp1.duration,sources.ramp1.y,sources.ramp1.offset,sources.ramp1.startTime,sources.multiSum.significantDigits,sources.multiSum.u[1],sources.multiSum.u[2],sources.multiSum.y,sources.multiSum.k[1],sources.multiSum.k[2],sources.ramp_freq_output,sources.f,LET1.output_1,LET1.input_1,LET1.fixedDelay.u,LET1.fixedDelay.y,LET1.fixedDelay.delayTime,LET1.delayTime,C1.output_1,C1.input_1,C1.fixedDelay.u,C1.fixedDelay.y,C1.fixedDelay.delayTime,C1.delayTime,LET2.output_1,LET2.input_1,LET2.fixedDelay.u,LET2.fixedDelay.y,LET2.fixedDelay.delayTime,LET2.delayTime,C2.output_1,C2.input_1,C2.fixedDelay.u,C2.fixedDelay.y,C2.fixedDelay.delayTime,C2.delayTime,LET3.output_1,LET3.input_1,LET3.fixedDelay.u,LET3.fixedDelay.y,LET3.fixedDelay.delayTime,LET3.delayTime,C3.output_1,C3.input_1,C3.fixedDelay.u,C3.fixedDelay.y,C3.fixedDelay.delayTime,C3.delayTime,LET4.output_1,LET4.input_1,LET4.fixedDelay.u,LET4.fixedDelay.y,LET4.fixedDelay.delayTime,LET4.delayTime,C4.output_1,C4.input_1,C4.fixedDelay.u,C4.fixedDelay.y,C4.fixedDelay.delayTime,C4.delayTime,LET5.output_1,LET5.input_1,LET5.fixedDelay.u,LET5.fixedDelay.y,LET5.fixedDelay.delayTime,LET5.delayTime
0.02,5,5,1,1,1,1,10,0,0.95105654,0,0,0.95105654,1,1,1,0,0.12533323,0,0,5,5,1,1,1,3,0.12533323,1,1.1253332,1,1,1.1253332,10,0.87630665,0.95105654,0.95105654,0.87630665,0.003,0.003,0.8443279,0.87630665,0.87630665,0.8443279,0.001,0.001,0.77051324,0.8443279,0.8443279,0.77051324,0.002,0.002,0.7289686,0.77051324,0.77051324,0.7289686,0.001,0.001,0.48175368,0.7289686,0.7289686,0.48175368,0.005,0.005,0.36812454,0.48175368,0.48175368,0.36812454,0.002,0.002,0.06279052,0.36812454,0.36812454,0.06279052,0.005,0.005,0,0.06279052,0.06279052,0,0.002,0.002,0,0,0,0,0.007,0.007
0.021,5,5,1,1,1,1,10,0,0.96858317,0,0,0.96858317,1,1,1,0,0.13156436,0,0,5,5,1,1,1,3,0.13156436,1,1.1315644,1,1,1.1315644,10,0.90482706,0.96858317,0.96858317,0.90482706,0.003,0.003,0.87630665,0.90482706,0.90482706,0.87630665,0.001,0.001,0.809017,0.87630665,0.87630665,0.809017,0.002,0.002,0.77051324,0.809017,0.809017,0.77051324,0.001,0.001,0.5358268,0.77051324,0.77051324,0.5358268,0.005,0.005,0.42577928,0.5358268,0.5358268,0.42577928,0.002,0.002,0.12533323,0.42577928,0.42577928,0.12533323,0.005,0.005,2.1784838e-16,0.12533323,0.12533323,2.1784838e-16,0.002,0.002,0,2.1784838e-16,2.1784838e-16,0,0.007,0.007
0.022,5,5,1,1,1,1,10,0,0.9822872,0,0,0.9822872,1,1,1,0,0.13779029,0,0,5,5,1,1,1,3,0.13779029,1,1.1377903,1,1,1.1377903,10,0.9297765,0.9822872,0.9822872,0.9297765,0.003,0.003,0.90482706,0.9297765,0.9297765,0.90482706,0.001,0.001,0.8443279,0.90482706,0.90482706,0.8443279,0.002,0.002,0.809017,0.8443279,0.8443279,0.809017,0.001,0.001,0.58778524,0.809017,0.809017,0.58778524,0.005,0.005,0.48175368,0.58778524,0.58778524,0.48175368,0.002,0.002,0.18738131,0.48175368,0.48175368,0.18738131,0.005,0.005,0.06279052,0.18738131,0.18738131,0.06279052,0.002,0.002,0,0.06279052,0.06279052,0,0.007,0.007
0.023,5,5,1,1,1,1,10,0,0.9921147,0,0,0.9921147,1,1,1,0,0.14401078,0,0,5,5,1,1,1,3,0.14401078,1,1.1440108,1,1,1.1440108,10,0.95105654,0.9921147,0.9921147,0.95105654,0.003,0.003,0.9297765,0.95105654,0.95105654,0.9297765,0.001,0.001,0.87630665,0.9297765,0.9297765,0.87630665,0.002,0.002,0.8443279,0.87630665,0.87630665,0.8443279,0.001,0.001,0.637424,0.8443279,0.8443279,0.637424,0.005,0.005,0.5358268,0.637424,0.637424,0.5358268,0.002,0.002,0.24868989,0.5358268,0.5358268,0.24868989,0.005,0.005,0.12533323,0.24868989,0.24868989,0.12533323,0.002,0.002,0,0.12533323,0.12533323,0,0.007,0.007
0.024,5,5,1,1,1,1,10,0,0.9980267,0,0,0.9980267,1,1,1,0,0.1502256,0,0,5,5,1,1,1,3,0.1502256,1,1.1502256,1,1,1.1502256,10,0.96858317,0.9980267,0.9980267,0.96858317,0.003,0.003,0.95105654,0.96858317,0.96858317,0.95105654,0.001,0.001,0.90482706,0.95105654,0.95105654,0.90482706,0.002,0.002,0.87630665,0.90482706,0.90482706,0.87630665,0.001,0.001,0.6845471,0.87630665,0.87630665,0.6845471,0.005,0.005,0.58778524,0.6845471,0.6845471,0.58778524,0.002,0.002,0.309017,0.58778524,0.58778524,0.309017,0.005,0.005,0.18738131,0.309017,0.309017,0.18738131,0.002,0.002,0,0.18738131,0.18738131,0,0.007,0.007
0.025,5,5,1,1,1,1,10,0,1,0,0,1,1,1,1,0,0.15643446,0,0,5,5,1,1,1,3,0.15643446,1,1.1564344,1,1,1.1564344,10,0.9822872,1,1,0.9822872,0.003,0.003,0.96858317,0.9822872,0.9822872,0.96858317,0.001,0.001,0.9297765,0.96858317,0.96858317,0.9297765,0.002,0.002,0.90482706,0.9297765,0.9297765,0.90482706,0.001,0.001,0.7289686,0.90482706,0.90482706,0.7289686,0.005,0.005,0.637424,0.7289686,0.7289686,0.637424,0.002,0.002,0.36812454,0.637424,0.637424,0.36812454,0.005,0.005,0.24868989,0.36812454,0.36812454,0.24868989,0.002,0.002,0,0.24868989,0.24868989,0,0.007,0.007
0.026,5,5,1,1,1,1,10,0,0.9980267,0,0,0.9980267,1,1,1,0,0.16263716,0,0,5,5,1,1,1,3,0.16263716,1,1.1626371,1,1,1.1626371,10,0.9921147,0.9980267,0.9980267,0.9921147,0.003,0.003,0.9822872,0.9921147,0.9921147,0.9822872,0.001,0.001,0.95105654,0.9822872,0.9822872,0.95105654,0.002,0.002,0.9297765,0.95105654,0.95105654,0.9297765,0.001,0.001,0.77051324,0.9297765,0.9297765,0.77051324,0.005,0.005,0.6845471,0.77051324,0.77051324,0.6845471,0.002,0.002,0.42577928,0.6845471,0.6845471,0.42577928,0.005,0.005,0.309017,0.42577928,0.42577928,0.309017,0.002,0.002,0,0.309017,0.309017,0,0.007,0.007
0.027,5,5,1,1,1,1,10,0,0.9921147,0,0,0.9921147,1,1,1,0,0.16883345,0,0,5,5,1,1,1,3,0.16883345,1,1.1688335,1,1,1.1688335,10,0.9980267,0.9921147,0.9921147,0.9980267,0.003,0.003,0.9921147,0.9980267,0.9980267,0.9921147,0.001,0.001,0.96858317,0.9921147,0.9921147,0.96858317,0.002,0.002,0.95105654,0.96858317,0.96858317,0.95105654,0.001,0.001,0.809017,0.95105654,0.95105654,0.809017,0.005,0.005,0.7289686,0.809017,0.809017,0.7289686,0.002,0.002,0.48175368,0.7289686,0.7289686,0.48175368,0.005,0.005,0.36812454,0.48175368,0.48175368,0.36812454,0.002,0.002,0,0.36812454,0.36812454,0,0.007,0.007
0.028,5,5,1,1,1,1,10,0,0.9822872,0,0,0.9822872,1,1,1,0,0.17502306,0,0,5,5,1,1,1,3,0.17502306,1,1.1750231,1,1,1.1750231,10,1,0.9822872,0.9822872,1,0.003,0.003,0.9980267,1,1,0.9980267,0.001,0.001,0.9822872,0.9980267,0.9980267,0.9822872,0.002,0.002,0.96858317,0.9822872,0.9822872,0.96858317,0.001,0.001,0.8443279,0.96858317,0.96858317,0.8443279,0.005,0.005,0.77051324,0.8443279,0.8443279,0.77051324,0.002,0.002,0.5358268,0.77051324,0.77051324,0.5358268,0.005,0.005,0.42577928,0.5358268,0.5358268,0.42577928,0.002,0.002,2.1784838e-16,0.42577928,0.42577928,2.1784838e-16,0.007,0.007
0.029,5,5,1,1,1,1,10,0,0.96858317,0,0,0.96858317,1,1,1,0,0.18120576,0,0,5,5,1,1,1,3,0.18120576,1,1.1812057,1,1,1.1812057,10,0.9980267,0.96858317,0.96858317,0.9980267,0.003,0.003,1,0.9980267,0.9980267,1,0.001,0.001,0.9921147,1,1,0.9921147,0.002,0.002,0.9822872,0.9921147,0.9921147,0.9822872,0.001,0.001,0.87630665,0.9822872,0.9822872,0.87630665,0.005,0.005,0.809017,0.87630665,0.87630665,0.809017,0.002,0.002,0.58778524,0.809017,0.809017,0.58778524,0.005,0.005,0.48175368,0.58778524,0.58778524,0.48175368,0.002,0.002,0.06279052,0.48175368,0.48175368,0.06279052,0.007,0.007
